relative_path,filename,suggested_family,duplicate_group_size,size_bytes,source_commit,review_status
SourceAssets/Animations/Raw/Unverified/Armada To Esquiva.fbx,Armada To Esquiva.fbx,other,1,724624,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Armada.fbx,Armada.fbx,other,1,449136,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Arms Hip Hop Dance.fbx,Arms Hip Hop Dance.fbx,dance,1,1983088,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Ascending Stairs.fbx,Ascending Stairs.fbx,other,1,418208,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Asking Question.fbx,Asking Question.fbx,other,1,711712,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Au To Role.fbx,Au To Role.fbx,other,1,723216,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Au.fbx,Au.fbx,other,1,594144,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Back Flip To Uppercut.fbx,Back Flip To Uppercut.fbx,other,1,737632,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Back Squat (1).fbx,Back Squat (1).fbx,other,2,798176,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Back Squat.fbx,Back Squat.fbx,other,2,1052960,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Backflip (1).fbx,Backflip (1).fbx,other,2,728176,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Backflip.fbx,Backflip.fbx,other,2,485536,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Backward Jump.fbx,Backward Jump.fbx,locomotion,1,445072,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Backward Right Turn (1).fbx,Backward Right Turn (1).fbx,locomotion,2,365840,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Backward Right Turn.fbx,Backward Right Turn.fbx,locomotion,2,365840,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Backwards Rifle Run (1).fbx,Backwards Rifle Run (1).fbx,combat,2,311840,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Backwards Rifle Run.fbx,Backwards Rifle Run.fbx,combat,2,311840,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Backwards Rifle Walk.fbx,Backwards Rifle Walk.fbx,combat,1,358992,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Banging Fist.fbx,Banging Fist.fbx,other,1,556160,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Bartending.fbx,Bartending.fbx,other,1,1417200,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Baseball Bunt.fbx,Baseball Bunt.fbx,sports,1,487632,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Baseball Catcher.fbx,Baseball Catcher.fbx,sports,1,951472,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Baseball Hit (1).fbx,Baseball Hit (1).fbx,combat,2,488704,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Baseball Hit.fbx,Baseball Hit.fbx,combat,2,706272,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Baseball Idle.fbx,Baseball Idle.fbx,idle,1,384736,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Baseball Milling Idle.fbx,Baseball Milling Idle.fbx,idle,1,1802304,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Baseball Pitching (1).fbx,Baseball Pitching (1).fbx,sports,2,700784,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Baseball Pitching.fbx,Baseball Pitching.fbx,sports,2,668128,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Baseball Step In.fbx,Baseball Step In.fbx,sports,1,629536,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Baseball Step Out.fbx,Baseball Step Out.fbx,sports,1,564560,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Baseball Step Up To Bat.fbx,Baseball Step Up To Bat.fbx,sports,1,979472,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Baseball Umpire.fbx,Baseball Umpire.fbx,sports,1,513504,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Baseball Walk In.fbx,Baseball Walk In.fbx,locomotion,1,683088,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Baseball Walk Out (1).fbx,Baseball Walk Out (1).fbx,locomotion,2,652144,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Baseball Walk Out.fbx,Baseball Walk Out.fbx,locomotion,2,652144,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Bash.fbx,Bash.fbx,other,1,716832,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Bashful.fbx,Bashful.fbx,other,1,1132560,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Batter On Deck.fbx,Batter On Deck.fbx,other,1,2990048,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Bboy Hip Hop Move.fbx,Bboy Hip Hop Move.fbx,dance,1,483552,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Bboy Pose To Idle.fbx,Bboy Pose To Idle.fbx,idle,1,527840,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Bboy Uprock Start (1).fbx,Bboy Uprock Start (1).fbx,other,2,467360,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Bboy Uprock Start.fbx,Bboy Uprock Start.fbx,other,2,467360,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Bboy Uprock.fbx,Bboy Uprock.fbx,other,1,524048,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Beckoning.fbx,Beckoning.fbx,other,1,513152,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Being Carried (1).fbx,Being Carried (1).fbx,other,3,691632,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Being Carried (2).fbx,Being Carried (2).fbx,other,3,636480,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Being Carried.fbx,Being Carried.fbx,other,3,1041904,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Being Cocky.fbx,Being Cocky.fbx,other,1,592096,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Belly Dance.fbx,Belly Dance.fbx,dance,1,1809168,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Bellydancing.fbx,Bellydancing.fbx,other,1,2258272,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Bicep Curl.fbx,Bicep Curl.fbx,other,1,639216,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Bicycle Crunch.fbx,Bicycle Crunch.fbx,locomotion,1,352336,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Big Body Blow.fbx,Big Body Blow.fbx,other,1,557456,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Big Hit To Head (1).fbx,Big Hit To Head (1).fbx,combat,4,365728,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Big Hit To Head (2).fbx,Big Hit To Head (2).fbx,combat,4,386752,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Big Hit To Head (3).fbx,Big Hit To Head (3).fbx,combat,4,365728,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Big Hit To Head.fbx,Big Hit To Head.fbx,combat,4,395536,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Big Jump.fbx,Big Jump.fbx,locomotion,1,526496,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Big Kidney Hit (1).fbx,Big Kidney Hit (1).fbx,combat,2,392832,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Big Kidney Hit.fbx,Big Kidney Hit.fbx,combat,2,392832,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Big Rib Hit.fbx,Big Rib Hit.fbx,combat,1,392832,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Big Side Hit.fbx,Big Side Hit.fbx,combat,1,382032,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Big Stomach Hit.fbx,Big Stomach Hit.fbx,combat,1,378576,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Block With Rifle.fbx,Block With Rifle.fbx,combat,1,397984,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Block.fbx,Block.fbx,combat,1,572832,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Blocking (1).fbx,Blocking (1).fbx,combat,2,371232,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Blocking Attack.fbx,Blocking Attack.fbx,combat,1,359360,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Blocking.fbx,Blocking.fbx,combat,2,360432,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Blow A Kiss.fbx,Blow A Kiss.fbx,other,1,652000,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Body Block.fbx,Body Block.fbx,combat,1,652576,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Body Jab Cross (1).fbx,Body Jab Cross (1).fbx,other,3,441440,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Body Jab Cross (2).fbx,Body Jab Cross (2).fbx,other,3,373936,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Body Jab Cross.fbx,Body Jab Cross.fbx,other,3,433328,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Booty Hip Hop Dance.fbx,Booty Hip Hop Dance.fbx,dance,1,681792,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Bored.fbx,Bored.fbx,other,1,1158448,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Bouncing Fight Idle (1).fbx,Bouncing Fight Idle (1).fbx,combat,2,503536,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Bouncing Fight Idle.fbx,Bouncing Fight Idle.fbx,combat,2,503536,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Box Idle.fbx,Box Idle.fbx,idle,1,772528,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Box Jump (1).fbx,Box Jump (1).fbx,locomotion,2,697072,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Box Jump.fbx,Box Jump.fbx,locomotion,2,697072,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Box Turn (1).fbx,Box Turn (1).fbx,locomotion,2,427504,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Box Turn.fbx,Box Turn.fbx,locomotion,2,382928,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Box Walk Arc.fbx,Box Walk Arc.fbx,locomotion,1,396432,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Boxing (1).fbx,Boxing (1).fbx,other,6,436032,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Boxing (2).fbx,Boxing (2).fbx,other,6,441440,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Boxing (3).fbx,Boxing (3).fbx,other,6,425232,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Boxing (4).fbx,Boxing (4).fbx,other,6,438736,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Boxing (5).fbx,Boxing (5).fbx,other,6,463040,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Boxing.fbx,Boxing.fbx,other,6,433328,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Braced Hang (1).fbx,Braced Hang (1).fbx,other,2,396608,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Braced Hang Drop.fbx,Braced Hang Drop.fbx,other,1,355568,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Braced Hang Hop Right.fbx,Braced Hang Hop Right.fbx,other,1,434240,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Braced Hang Hop Up.fbx,Braced Hang Hop Up.fbx,other,1,432432,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Braced Hang Shimmy (1).fbx,Braced Hang Shimmy (1).fbx,other,3,381680,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Braced Hang Shimmy (2).fbx,Braced Hang Shimmy (2).fbx,other,3,381680,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Braced Hang Shimmy.fbx,Braced Hang Shimmy.fbx,other,3,381680,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Braced Hang To Crouch.fbx,Braced Hang To Crouch.fbx,other,1,379520,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Braced Hang.fbx,Braced Hang.fbx,other,2,396608,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance 1990 (1).fbx,Breakdance 1990 (1).fbx,dance,2,409712,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance 1990.fbx,Breakdance 1990.fbx,dance,2,663600,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Ending 2.fbx,Breakdance Ending 2.fbx,dance,1,976848,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Footwork 1.fbx,Breakdance Footwork 1.fbx,dance,1,623968,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Footwork 2 (1).fbx,Breakdance Footwork 2 (1).fbx,dance,2,444672,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Footwork 2.fbx,Breakdance Footwork 2.fbx,dance,2,444672,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Footwork 3.fbx,Breakdance Footwork 3.fbx,dance,1,682432,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Footwork To Freeze.fbx,Breakdance Footwork To Freeze.fbx,dance,1,681504,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Footwork To Idle.fbx,Breakdance Footwork To Idle.fbx,dance,1,679248,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Freeze Var 1.fbx,Breakdance Freeze Var 1.fbx,dance,1,731952,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Freeze Var 2.fbx,Breakdance Freeze Var 2.fbx,dance,1,704864,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Freeze Var 4.fbx,Breakdance Freeze Var 4.fbx,dance,1,713376,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Freezes.fbx,Breakdance Freezes.fbx,dance,1,869712,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Ready (1).fbx,Breakdance Ready (1).fbx,dance,2,425776,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Ready.fbx,Breakdance Ready.fbx,dance,2,384192,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Swipes.fbx,Breakdance Swipes.fbx,dance,1,604240,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Uprock (1).fbx,Breakdance Uprock (1).fbx,dance,3,671472,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Uprock (2).fbx,Breakdance Uprock (2).fbx,dance,3,671472,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Uprock To Ground (1).fbx,Breakdance Uprock To Ground (1).fbx,dance,2,399312,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Uprock To Ground.fbx,Breakdance Uprock To Ground.fbx,dance,2,675568,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Uprock Var 1 End.fbx,Breakdance Uprock Var 1 End.fbx,dance,1,497600,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Uprock Var 1 Start.fbx,Breakdance Uprock Var 1 Start.fbx,dance,1,433328,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Uprock Var 2.fbx,Breakdance Uprock Var 2.fbx,dance,1,744240,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breakdance Uprock.fbx,Breakdance Uprock.fbx,dance,3,501376,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Breathing Idle.fbx,Breathing Idle.fbx,interaction,1,1109152,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Brooklyn Uprock.fbx,Brooklyn Uprock.fbx,other,1,704864,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Brutal Assassination (1).fbx,Brutal Assassination (1).fbx,other,2,646640,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Brutal Assassination.fbx,Brutal Assassination.fbx,other,2,697760,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Brutal To Happy Walking.fbx,Brutal To Happy Walking.fbx,locomotion,1,401760,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Burpee End.fbx,Burpee End.fbx,other,1,540800,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Burpee.fbx,Burpee.fbx,other,1,618560,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Butterfly Twirl.fbx,Butterfly Twirl.fbx,other,1,613392,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Button Pushing.fbx,Button Pushing.fbx,interaction,1,587984,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Calling.fbx,Calling.fbx,other,1,533952,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Can Can.fbx,Can Can.fbx,other,1,679040,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Capoeira (1).fbx,Capoeira (1).fbx,other,2,1766960,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Capoeira.fbx,Capoeira.fbx,other,2,693136,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Cards (1).fbx,Cards (1).fbx,other,2,1038096,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Cards.fbx,Cards.fbx,other,2,1047120,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Carrying.fbx,Carrying.fbx,interaction,1,1015056,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Cartwheel.fbx,Cartwheel.fbx,other,1,663920,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Casting Spell.fbx,Casting Spell.fbx,other,1,945216,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Idle 01.fbx,Catwalk Idle 01.fbx,locomotion,1,656288,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Idle 02.fbx,Catwalk Idle 02.fbx,locomotion,1,818512,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Idle To Twist L.fbx,Catwalk Idle To Twist L.fbx,locomotion,1,463568,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Idle To Twist R.fbx,Catwalk Idle To Twist R.fbx,locomotion,1,506592,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Idle To Walk Forward (1).fbx,Catwalk Idle To Walk Forward (1).fbx,locomotion,3,414432,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Idle To Walk Forward (2).fbx,Catwalk Idle To Walk Forward (2).fbx,locomotion,3,414432,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Idle To Walk Forward Crossed.fbx,Catwalk Idle To Walk Forward Crossed.fbx,locomotion,1,403088,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Idle To Walk Forward.fbx,Catwalk Idle To Walk Forward.fbx,locomotion,3,414432,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Idle Twist L (1).fbx,Catwalk Idle Twist L (1).fbx,locomotion,2,584528,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Idle Twist L.fbx,Catwalk Idle Twist L.fbx,locomotion,2,703984,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Idle Twist R (1).fbx,Catwalk Idle Twist R (1).fbx,locomotion,2,712880,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Idle Twist R.fbx,Catwalk Idle Twist R.fbx,locomotion,2,630432,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Idle.fbx,Catwalk Idle.fbx,locomotion,1,1040960,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Sequence 01 (1).fbx,Catwalk Sequence 01 (1).fbx,locomotion,2,1485024,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Sequence 01.fbx,Catwalk Sequence 01.fbx,locomotion,2,1496608,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Sequence 02 (1).fbx,Catwalk Sequence 02 (1).fbx,locomotion,3,1289584,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Sequence 02 (2).fbx,Catwalk Sequence 02 (2).fbx,locomotion,3,1116464,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Sequence 02.fbx,Catwalk Sequence 02.fbx,locomotion,3,1289584,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Sequence 03.fbx,Catwalk Sequence 03.fbx,locomotion,1,1294016,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Sequence 04.fbx,Catwalk Sequence 04.fbx,locomotion,1,1244752,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Sequence 05.fbx,Catwalk Sequence 05.fbx,locomotion,1,1125536,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Twist L To Twist R (1).fbx,Catwalk Twist L To Twist R (1).fbx,locomotion,2,544032,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Twist L To Twist R.fbx,Catwalk Twist L To Twist R.fbx,locomotion,2,490032,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Twist L To Walk 180 (1).fbx,Catwalk Twist L To Walk 180 (1).fbx,locomotion,2,490544,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Twist L To Walk 180.fbx,Catwalk Twist L To Walk 180.fbx,locomotion,2,493808,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Twist R To Twist L (1).fbx,Catwalk Twist R To Twist L (1).fbx,locomotion,3,508928,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Twist R To Twist L (2).fbx,Catwalk Twist R To Twist L (2).fbx,locomotion,3,508928,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Twist R To Twist L.fbx,Catwalk Twist R To Twist L.fbx,locomotion,3,471136,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Twist R To Walk 180 (1).fbx,Catwalk Twist R To Walk 180 (1).fbx,locomotion,2,486256,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Twist R To Walk 180.fbx,Catwalk Twist R To Walk 180.fbx,locomotion,2,570416,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Walk Crossed Stop.fbx,Catwalk Walk Crossed Stop.fbx,locomotion,1,429552,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Walk Forward 02.fbx,Catwalk Walk Forward 02.fbx,locomotion,1,391760,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Walk Forward 03.fbx,Catwalk Walk Forward 03.fbx,locomotion,1,387968,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Walk Forward Arc 90L (1).fbx,Catwalk Walk Forward Arc 90L (1).fbx,locomotion,3,531616,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Catwalk Walk Forward Arc 90L (2).fbx,Catwalk Walk Forward Arc 90L (2).fbx,locomotion,3,671472,b50b5b2,license-review-required
