Pack,Clip,License,Runtime Selected,Intended Use
UAL2 Standard,Consume,CC0 1.0,Yes,Food and drink activity
UAL2 Standard,Farm_Harvest,CC0 1.0,Yes,Park gardening activity
UAL2 Standard,Farm_PlantSeed,CC0 1.0,Yes,Park gardening activity
UAL2 Standard,Farm_Watering,CC0 1.0,Yes,Park gardening activity
UAL2 Standard,Hit_Knockback,CC0 1.0,No,No current combat reaction
UAL2 Standard,Idle_FoldArms_Loop,CC0 1.0,Yes,Security idle
UAL2 Standard,Idle_Lantern_Loop,CC0 1.0,No,No carried lantern
UAL2 Standard,Idle_No_Loop,CC0 1.0,No,Deferred dialogue gesture
UAL2 Standard,Idle_Rail_Call,CC0 1.0,No,No rail-call sequence
UAL2 Standard,Idle_Rail_Loop,CC0 1.0,No,No rail-call sequence
UAL2 Standard,Idle_Shield_Break,CC0 1.0,No,No shield gameplay
UAL2 Standard,Idle_Shield_Loop,CC0 1.0,No,No shield gameplay
UAL2 Standard,Idle_TalkingPhone_Loop,CC0 1.0,Yes,Ambient phone activity
UAL2 Standard,LayToIdle,CC0 1.0,No,No lying state
UAL2 Standard,Melee_Hook,CC0 1.0,No,No melee gameplay
UAL2 Standard,Melee_Hook_Rec,CC0 1.0,No,No melee gameplay
UAL2 Standard,NinjaJump_Idle_Loop,CC0 1.0,No,No parkour gameplay
UAL2 Standard,NinjaJump_Land,CC0 1.0,No,No parkour gameplay
UAL2 Standard,NinjaJump_Start,CC0 1.0,No,No parkour gameplay
UAL2 Standard,OverhandThrow,CC0 1.0,Yes,Throw interaction
UAL2 Standard,Shield_Dash,CC0 1.0,No,No shield gameplay
UAL2 Standard,Shield_OneShot,CC0 1.0,No,No shield gameplay
UAL2 Standard,Slide_Exit,CC0 1.0,No,No slide gameplay
UAL2 Standard,Slide_Loop,CC0 1.0,No,No slide gameplay
UAL2 Standard,Slide_Start,CC0 1.0,No,No slide gameplay
UAL2 Standard,Sword_Block,CC0 1.0,No,No sword gameplay
UAL2 Standard,Sword_Dash,CC0 1.0,No,No sword gameplay
UAL2 Standard,Sword_Heavy_Combo,CC0 1.0,No,No sword gameplay
UAL2 Standard,Sword_Regular_A,CC0 1.0,No,No sword gameplay
UAL2 Standard,Sword_Regular_A_Rec,CC0 1.0,No,No sword gameplay
UAL2 Standard,Sword_Regular_B,CC0 1.0,No,No sword gameplay
UAL2 Standard,Sword_Regular_B_Rec,CC0 1.0,No,No sword gameplay
UAL2 Standard,Sword_Regular_C,CC0 1.0,No,No sword gameplay
UAL2 Standard,Sword_Regular_Combo,CC0 1.0,No,No sword gameplay
UAL2 Standard,TreeChopping_Loop,CC0 1.0,Yes,Maintenance activity
UAL2 Standard,Walk_Carry_Loop,CC0 1.0,Yes,Carrying locomotion
UAL2 Standard,Yes,CC0 1.0,Yes,Dialogue acknowledgement
UAL2 Standard,Zombie_Idle_Loop,CC0 1.0,No,No zombie gameplay
UAL2 Standard,Zombie_Scratch,CC0 1.0,No,No zombie gameplay
UAL2 Standard,Zombie_Walk_Fwd_Loop,CC0 1.0,No,No zombie gameplay
